Blender 4.0.2
Fra:1 Mem:19.00M (Peak 25.03M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:19.00M (Peak 25.03M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:19.16M (Peak 25.03M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:19.26M (Peak 25.03M) | Time:00:00.03 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:19.24M (Peak 25.03M) | Time:00:00.03 | Mem:0.13M, Peak:0.13M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:19.24M (Peak 25.03M) | Time:00:00.03 | Mem:0.13M, Peak:0.13M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:19.24M (Peak 25.03M) | Time:00:00.04 | Mem:0.45M, Peak:0.45M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:19.24M (Peak 25.03M) | Time:00:00.04 | Mem:0.87M, Peak:1.19M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:19.24M (Peak 25.03M) | Time:00:00.04 | Mem:0.87M, Peak:1.19M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:19.61M (Peak 25.03M) | Time:00:00.04 | Mem:0.87M, Peak:1.19M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:19.61M (Peak 25.03M) | Time:00:00.04 | Mem:1.24M, Peak:1.24M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:19.61M (Peak 25.03M) | Time:00:00.04 | Mem:1.24M, Peak:1.24M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:19.61M (Peak 25.03M) | Time:00:00.04 | Mem:1.24M, Peak:1.24M | Scene, ViewLayer | Updating Images
